Known Kernel,Noise Level,Method,AddedNoise,Mass_m0,MeanTravelTime_m1,SpreadOfTravelTimes_m2,RMSE,CorrelationTime,FinalSigma,L2,SolveTime_sec,SolveTime_min
bimodal,0.005,Cirpka,0.00503196280196,0.9996253909751238,12.627398743045063,22.837576196101192,0.0007335907193669,30.0,0.0010510401045105,0.0004519679628281,34.08424372400623,0.5680707287334371
bimodal,0.005,Learn,0.004966808272977,0.9995020163029664,12.627618587504374,22.834317011735003,0.0008324650005403,15.355248108578117,0.0011897208469682,0.0009771520213875,7.360161924967542,0.1226693654161257
bimodal,0.03,Cirpka,0.0299973678797099,0.9967100530207984,12.624375059195138,22.570118384638025,0.006173723055929,30.0,0.0084954016696366,0.0013017853663504,23.35349772905465,0.3892249621509108
bimodal,0.03,Learn,0.0299790899492096,0.995129423856393,12.605145459479264,22.5185549038715,0.0057395079238343,15.264495478454169,0.0078914975504559,0.0016965140616151,5.906198419048451,0.0984366403174741
bimodal,0.09,Cirpka,0.0899509705893864,0.9964017022292232,12.605521638452569,22.20675539021777,0.0177477196705476,30.0,0.0237967964810654,0.0032861025887553,20.84536583989393,0.3474227639982322
bimodal,0.09,Learn,0.090079963888744,0.9942742999880168,12.593674135626369,22.03972029062493,0.0169473831016742,15.145088426460443,0.0225734694351815,0.0033155322637574,4.863497792044655,0.0810582965340775
chapeau,0.005,Cirpka,0.0050211700333804,1.0000372946089764,2.5004603354282504,1.0463320287952167,0.0018959948890218,30.0,0.0020069667810157,0.026120348737513,206.9886322239181,3.449810537065302
chapeau,0.005,Learn,0.0049716876413143,0.9999192092232516,2.500441912242928,1.0420554982570482,0.0016938558981228,3.858232366527616,0.0017821137246115,0.0235390748991341,42.04561154299881,0.7007601923833136
chapeau,0.03,Cirpka,0.0300113861834355,1.001771285402579,2.506264042172031,1.0897021230677184,0.0098432724285602,30.0,0.0104454553306624,0.0306001473956199,59.73117051797453,0.9955195086329088
chapeau,0.03,Learn,0.0298853834044286,0.9998443544870148,2.509197301740333,1.1524187525908116,0.0118909607509384,3.864849286680987,0.0123716102655801,0.0320238286028733,14.80878402898088,0.2468130671496813
chapeau,0.09,Cirpka,0.090676738728903,1.0041362153285462,2.5023127015176287,1.1927259147752296,0.0327747954085268,30.0,0.0343355709427784,0.0348547765162514,33.453590836026706,0.5575598472671117
chapeau,0.09,Learn,0.089874464632204,1.0033707901030733,2.5416000864846318,1.5222348330561302,0.0291000316055388,3.8400031859309727,0.0302054293953788,0.0360679151503227,12.577170008909889,0.2096195001484981
gamma,0.005,Cirpka,0.0050343233748598,0.9996484017027604,5.989476547127,11.790451636292415,0.0009425567997269,30.0,0.0013053990982595,0.0005272508980295,61.07939758605789,1.0179899597676316
gamma,0.005,Learn,0.0049656850801501,0.9993561397707428,5.990392367454588,11.796598602601156,0.0007908755711807,10.751460174192964,0.0010990112901948,0.0028911243127067,12.644026439986192,0.2107337739997698
gamma,0.03,Cirpka,0.030109360855912,0.997257950779316,5.968291693454043,11.477337835213618,0.0076774170480015,30.0,0.0100524716007605,0.0029811216584899,38.472576798987575,0.6412096133164595
gamma,0.03,Learn,0.0299467188195861,0.9970099206691656,5.965719781175581,11.318682237883417,0.0071052837955145,10.701280259577928,0.0091692992282989,0.0038863701028527,8.540369407972321,0.142339490132872
gamma,0.09,Cirpka,0.0900244116641811,1.0189391747292535,5.986314716964956,15.965905926787816,0.2459408307835638,30.0,0.12,0.0976494770912858,35.92255938600283,0.5987093231000472
gamma,0.09,Learn,0.0897767550553185,0.9984306715479,5.948768194044964,11.278137463870172,0.0205003327287183,10.682023059887634,0.0255107351760173,0.003982147753078,5.814911192050204,0.09691518653417
