time,input,output,simulated
0.0,0.0073011805353610975,4.2785300714443854e-16,3.572801103279093e-08
0.1,0.01109372507012248,1.201711210407618e-15,1.1487720925155795e-07
0.2,0.007219459461003528,2.5537303356729596e-15,1.849212217925623e-07
0.30000000000000004,0.008677820238078664,4.862728791475416e-15,2.7846620812810647e-07
0.4,-0.012049631814241912,8.743213875630845e-15,3.624004049411219e-07
0.5,-0.01027996093533462,1.5186423175769986e-14,4.462205739908093e-07
0.6000000000000001,0.009808372332399824,2.578257096934618e-14,5.768668011889619e-07
0.7000000000000001,0.011236481075782727,4.306917060728103e-14,6.732679288063223e-07
0.8,-0.0013430626986672938,7.107401565184591e-14,7.979250659410303e-07
0.9,-0.0032203463537962477,1.161570446512588e-13,8.79153485957719e-07
1.0,-0.009063768192173917,1.8830856989229307e-13,9.951602631130774e-07
1.1,-0.003862773714804887,3.031404463364017e-13,1.2198295602864712e-06
1.2000000000000002,-0.007371652757112955,4.849235236835766e-13,1.3456553741022352e-06
1.3,0.007388505540762375,7.71196059626688e-13,1.4843719676276906e-06
1.4000000000000001,0.010339468825706272,1.2197176462764863e-12,1.8135630362810797e-06
1.5,-0.006142982771155556,1.918905384219773e-12,2.0908386554598975e-06
1.6,-0.011002491461865513,3.003410773478092e-12,2.3280155487689662e-06
1.7000000000000002,0.004269454952563823,4.6772427053808954e-12,2.8629256039507093e-06
1.8,-0.001507571338924776,7.247904547606698e-12,3.4848736044090824e-06
1.9000000000000001,0.010828165794074885,1.117651554763491e-11,4.155569636469654e-06
2.0,-0.004632675913049956,1.7150997075642527e-11,4.724714608348098e-06
2.1,0.010725638728168816,2.6192349802665788e-11,5.443634239587534e-06
2.2,-0.003982701753105519,3.9808132936768567e-11,6.306520930724964e-06
2.3000000000000003,0.006976457769346811,6.02128851571483e-11,7.10497001994152e-06
2.4000000000000004,0.001917652371140424,9.064293133877344e-11,8.280454199320063e-06
2.5,-0.0036530615449574693,1.358034955376088e-10,9.400359271767492e-06
2.6,-0.01000585545118889,2.0250019124669567e-10,1.045571352948249e-05
2.7,0.0039552494714339345,3.0052594431201664e-10,1.1664816219506607e-05
2.8000000000000003,0.006459915523765193,4.438996996697083e-10,1.3106328026785835e-05
2.9000000000000004,0.0007741597965585209,6.52586735857471e-10,1.460349974720579e-05
3.0,-0.00143454138531541,9.548743947545247e-10,1.601272908287656e-05
3.1,-0.009652727371562152,1.390634419213016e-09,1.7973307416431333e-05
3.2,0.0033035210373535203,2.0157774235136456e-09,1.990970946321487e-05
3.3000000000000003,-0.009232593705319704,2.9083006029405818e-09,2.1948401368335758e-05
3.4000000000000004,0.009195593558232835,4.176451781575231e-09,2.408235638684612e-05
3.5,-0.004704753444661335,5.969687423660337e-09,2.65106590848085e-05
3.6,0.006727229502926114,8.493296462708419e-09,2.9016330241985926e-05
3.7,-0.0008874848112554725,1.2027804016029993e-08,3.201551735287139e-05
3.8000000000000003,-0.0002522462179644392,1.695456867791699e-08,3.535092232692051e-05
3.9000000000000004,-0.006148522068675715,2.378935467946715e-08,3.9062697017262e-05
4.0,-0.006396301958521692,3.3226107374299935e-08,4.299787228545911e-05
4.1000000000000005,-0.007737766361020685,4.6193699753331274e-08,4.6953923318873055e-05
4.2,-0.0031384612985376,6.39290621315694e-08,5.1252420154333095e-05
4.3,-0.006463901432475872,8.807087015565878e-08,5.5783395765363994e-05
4.4,0.0013058137980535994,1.207788609546205e-07,6.118655267065981e-05
4.5,0.0030002045426178706,1.6488488576963427e-07,6.6925566185923e-05
4.6000000000000005,-0.006335328587175955,2.2408300017750418e-07,7.295429443640402e-05
4.7,0.016393002613313917,3.0316724777928577e-07,7.926590095948624e-05
4.800000000000001,0.014660081624002563,4.0832731385511756e-07,8.583372773693249e-05
4.9,-0.0023852401029901965,5.475139108500885e-07,9.32020553291324e-05
5.0,0.003273317514222586,7.308876002005562e-07,0.00010103305334117442
5.1000000000000005,0.016620977499901192,9.71366739880938e-07,0.00010948104098028083
5.2,0.014963371903094672,1.2852923502813534e-06,0.00011840939668516631
5.300000000000001,0.0215112971448243,1.6932298789040612e-06,0.00012790564630988467
5.4,0.027449608092022838,2.220930072589021e-06,0.00013795373446957618
5.5,0.026824554693739892,2.900473379329138e-06,0.00014876934224086657
5.6000000000000005,0.05272090810996133,3.771624434310134e-06,0.00016035230178452575
5.7,0.05289965831082105,4.8834251609295165e-06,0.00017255324810622815
5.800000000000001,0.0697436091766188,6.296056753471596e-06,0.0001856552741467059
5.9,0.09030156061839287,8.083002214639796e-06,0.0001997885530220032
6.0,0.12355931800760209,1.0333542107160625e-05,0.00021488171343329906
6.1000000000000005,0.13998776048426093,1.3155616655637496e-05,0.00023123039878460735
6.2,0.1702122657648808,1.6679087222139546e-05,0.00024848763929004574
6.300000000000001,0.208632896442485,2.1059429410057675e-05,0.00026668922778896675
6.4,0.24869812512513909,2.648188857950557e-05,0.000286946385873575
6.5,0.3084272370553301,3.316612636522155e-05,0.00030884468174657007
6.6000000000000005,0.3604325278237712,4.137138388951056e-05,0.00033238161931838003
6.7,0.4243279597787599,5.140218381269697e-05,0.00035773929632059337
6.800000000000001,0.5161095387517013,6.361458926021852e-05,0.0003855002632865425
6.9,0.6078148271123557,7.842303315384976e-05,0.0004157510834933272
7.0,0.725872028041053,9.630772674645866e-05,0.00044946102102866444
7.1000000000000005,0.8403727920523154,0.00011782265145139422,0.00048642638799709483
7.2,0.9901864259415412,0.0001436041336439272,0.000527756763581333
7.300000000000001,1.1419851271202668,0.0001743799982974749,0.0005735455159836872
7.4,1.340866700412659,0.0002109792944229122,0.0006244986442996915
7.5,1.5416450311025194,0.00025434258362756106,0.0006816065440174411
7.6000000000000005,1.7496184821013647,0.00030553278300658477,0.0007455661484875719
7.7,1.9839169561190948,0.00036574655529084625,0.0008176318714313052
7.800000000000001,2.2622242619704385,0.00043632624290997356,0.0008991112077252314
7.9,2.542144716203409,0.0005187723485151728,0.0009906727232938321
8.0,2.8559726702470964,0.0006147565725711054,0.00109353259726208
8.1,3.1798798269206254,0.0007261354287814056,0.001210232795310073
8.200000000000001,3.532381848985345,0.0008549644701414188,0.0013428297971111568
8.3,3.903892088042366,0.0010035131719635267,0.001492581292710888
8.4,4.300703634092052,0.0011742805328107068,0.0016623215633001182
8.5,4.687620220530254,0.0013700114692938416,0.0018542068789736189
8.6,5.097957990149456,0.0015937140954209198,0.002071586269187742
8.700000000000001,5.538089190424167,0.0018486779908313265,0.0023175721278612966
8.8,5.954378483123831,0.002138493573953726,0.002595095307065172
8.9,6.383951888832046,0.0024670727050249254,0.0029084235451714976
9.0,6.819213484266059,0.002838670649159621,0.003262468525642474
9.1,7.2331603154228,0.00325790953049714,0.003661335395248724
9.200000000000001,7.620781473903274,0.0037298034042135965,0.00411009680779824
9.3,8.019254428559478,0.00425978506337001,0.004614017004540954
9.4,8.376682225022343,0.004853734681847232,0.005179786578263186
9.5,8.732717802214195,0.005518010372884813,0.005814032847456462
9.600000000000001,9.031474086096525,0.006259480715105001,0.006524163717871562
9.700000000000001,9.310847479816031,0.007085559264704247,0.00731697488846048
9.8,9.527710119213731,0.008004241034290368,0.008202203812384602
9.9,9.73038798307328,0.009024140876389189,0.009188077637652387
10.0,9.861300028798498,0.010154533663860146,0.01028481826948403
10.100000000000001,9.946456620804222,0.01140539611139108,0.01150197897460506
10.200000000000001,10.011856047127516,0.012787450033008609,0.012851718170135595
10.3,10.003447090233369,0.014312206781286155,0.014345263669862732
10.4,9.949945831424149,0.015992012565772144,0.015995627714801203
10.5,9.835765285045154,0.017840094302129957,0.017817172590167924
10.600000000000001,9.703013678093852,0.019870605600489005,0.01982393567582061
10.700000000000001,9.502536584137413,0.022098672462299726,0.022031424442664094
10.8,9.268158911061597,0.02454043822012413,0.02445542424321417
10.9,8.994616756299047,0.02721310722463481,0.027114337581026826
11.0,8.669928687337013,0.030134986757793608,0.03002570513261968
11.100000000000001,8.35141247514831,0.033325526630697905,0.033210068248107585
11.200000000000001,7.984852570185407,0.03680535590871106,0.036687810283449786
11.3,7.592896911405189,0.040596316194889376,0.04047984922269711
11.4,7.181335813534615,0.04472149089494177,0.044609742996762417
11.5,6.768829447075112,0.04920522988251585,0.04910102870417095
11.600000000000001,6.345368695601854,0.05407316898199841,0.05397914383679574
11.700000000000001,5.925514190779665,0.059352243686788646,0.05927076955350492
11.8,5.526917567526822,0.0650706965337687,0.06500371698549684
11.9,5.10936884120022,0.07125807755919221,0.07120615009116238
12.0,4.7071524015021335,0.07794523726730769,0.0779089633781824
12.100000000000001,4.3304405240994726,0.08516431155075921,0.08514466708559426
12.200000000000001,3.946694136625115,0.09294869801134593,0.09294400028866769
12.3,3.60625478500223,0.10133302314142148,0.10134337676369297
12.4,3.2684813093703076,0.1103530998405526,0.11037646405610463
12.5,2.9782283815557875,0.120045874759648,0.12007999221228619
12.600000000000001,2.6887737529467794,0.13044936498629517,0.13049227815343956
12.700000000000001,2.4427347871357763,0.1416025836112719,0.14165245669796386
12.8,2.1979902359277097,0.15354545374789239,0.15359983597973725
12.9,1.9819636097694113,0.16631871061377526,0.16637512471429128
13.0,1.8122262467013466,0.17996379132948276,0.18001957584338682
13.100000000000001,1.6410820238920636,0.19452271214090688,0.19457496473306835
13.200000000000001,1.4966284465607447,0.21003793283278532,0.21008458060679433
13.3,1.3765059796405832,0.2265522081696858,0.22659238767676926
13.4,1.2997937861334994,0.24410842627843735,0.24414054009113312
13.5,1.2179584134978447,0.262749433972358,0.2627722808577592
13.600000000000001,1.148081080970095,0.2825178491126077,0.28253057366579065
13.700000000000001,1.10280672442098,0.3034558602053061,0.3034584097935231
13.8,1.0705609414779964,0.32560501354419086,0.3255979186288369
13.9,1.0640055598250993,0.34900598832695,0.3489899075198949
14.0,1.054780944080067,0.373698360298103,0.37367388299703364
14.100000000000001,1.0783168112893866,0.39972035460150446,0.39968914201072847
14.200000000000001,1.0969744815944438,0.42710858866009493,0.42707336636743154
14.3,1.1108204333175886,0.4558978060382149,0.45586025938197505
14.4,1.1600728995586143,0.48612060238131705,0.48608298809014044
14.5,1.206479983222031,0.5178071446678335,0.5177717832608902
14.600000000000001,1.2456176063076532,0.5509848851467807,0.5509540233064598
14.700000000000001,1.3141360327844318,0.585678271470876,0.5856534424535592
14.8,1.3599165652412937,0.6219084546668601,0.6218914500594471
14.9,1.4330520443598063,0.6596929967107528,0.6596860663653166
15.0,1.499985016128077,0.6990455795942441,0.6990502281283202
15.100000000000001,1.5599779417377007,0.7399757178776728,0.7399932833358103
15.200000000000001,1.644267407602982,0.7824884768234375,0.7825186823454248
15.3,1.7114399813238055,0.8265841982895836,0.8266279010146838
15.4,1.7825807237670321,0.8722582366351667,0.8723144119441594
15.5,1.8485261232433432,0.9195007069452892,0.919570070597074
15.600000000000001,1.9124017888555271,0.9682962479230235,0.9683771448195352
15.700000000000001,1.989622735348728,1.0186238018164915,1.0187159339768903
15.8,2.043522714098937,1.0704564137509236,1.0705582196644354
15.9,2.105121034558778,1.1237610528165711,1.1238710512100418
16.0,2.1717299283613185,1.1784984572229824,1.178614821778921
16.1,2.2246920364136584,1.2346230057676946,1.2347431252965422
16.2,2.2892312912236235,1.2920826177822737,1.2922054240250742
16.3,2.3211950699638293,1.3508186836106573,1.3509418471183854
16.400000000000002,2.3771749707381162,1.410766027543736,1.4108878082325873
16.5,2.4053777349683707,1.471852904980313,1.471972468458373
16.6,2.424524435137343,1.5340010354083673,1.534116788488971
16.7,2.455651405911665,1.5971256726026233,1.5972366029286897
16.8,2.4670459378033742,1.6611357132156996,1.6612408667791585
16.900000000000002,2.497312736020131,1.7259338447018095,1.7260316522499146
17.0,2.487207338731672,1.7914167332555206,1.7915075961276656
17.1,2.503312290660526,1.8574752521752043,1.8575588345189087
17.2,2.489962218196881,1.9239947507734116,1.9240720272483274
17.3,2.4939681349380107,1.9908553636567452,1.9909256263948203
17.400000000000002,2.4645910841995775,2.0579323598881905,2.0579966975869084
17.5,2.4518964423707525,2.1250965312279484,2.1251537601248582
17.6,2.420637084369517,2.1922146183272875,2.1922650791093723
17.7,2.387079676433589,2.2591497734268127,2.2591945167558323
17.8,2.328228475621327,2.325762057788687,2.3258009878203807
17.900000000000002,2.286124582343835,2.3919089717750026,2.3919420299638583
18.0,2.2429805130606013,2.4574460151747455,2.457473215436747
18.1,2.1938713844026725,2.522227275082791,2.522248721349564
18.2,2.1312705615966716,2.5861060383493655,2.5861209414750315
18.3,2.0747357383513707,2.648935425350315,2.6489440115778757
18.400000000000002,1.9983213241695028,2.7105690415805612,2.7105702706152814
18.5,1.9280959791227155,2.770861643347949,2.7708552281033745
18.6,1.8560722994104597,2.8296698136451344,2.8296543675947774
18.7,1.7840519919672033,2.8868526441056543,2.886828057111839
18.8,1.7168785077244415,2.942272418809119,2.942237721034188
18.900000000000002,1.6313102464932523,2.9957952955915723,2.995750650710278
19.0,1.5639438195537152,3.0472919804421092,3.0472362688882324
19.1,1.4982306025443601,3.0966383905272528,3.096570683750584
19.200000000000003,1.4265534206297332,3.143716301381322,3.1436364009426097
19.3,1.3443383396444553,3.1884139738347255,3.188321953890326
19.400000000000002,1.2745573201891938,3.230626756323097,3.2305221945903826
19.5,1.1927008223143314,3.2702576583283105,3.2701413259278436
19.6,1.124024894354161,3.3072178908471415,3.307090075065032
19.700000000000003,1.03945333276093,3.3414273699638155,3.341287930737588
19.8,0.9895559173505908,3.372815179817635,3.3726659273013144
19.900000000000002,0.905252539247709,3.401319991504631,3.4011622689324175
20.0,0.853404360364127,3.426890434730664,3.426725680991602
20.1,0.790614404479708,3.4494854193404585,3.449314954016482
20.200000000000003,0.7392273644161185,3.4690744041798283,3.468899289083222
20.3,0.687504255862195,3.485637611103939,3.4854594572947852
20.400000000000002,0.6246413732444503,3.499166182319881,3.498987059966786
20.5,0.5739933481114412,3.509662279643343,3.5094842155512973
20.6,0.5328259662706432,3.517139124653546,3.5169635554331258
20.700000000000003,0.4897343258722872,3.5216209791438944,3.5214494371697196
20.8,0.44244611520827853,3.523143065684351,3.522977371034407
20.900000000000002,0.4025711835521552,3.5217514285314815,3.5215926021171318
21.0,0.36750681552994796,3.517502735539607,3.517352472122498
21.1,0.33764607495387167,3.5104640221378007,3.510323484097604
21.200000000000003,0.28681954159797785,3.500712378838818,3.500581319230843
21.3,0.2756283096217363,3.488334584133977,3.4882135301347077
21.400000000000002,0.2502030956002334,3.473426684999114,3.4733157836849253
21.5,0.21750465043740963,3.4560935275877975,3.4559924297645024
21.6,0.20315328389594223,3.4364482410161727,3.436356470056376
21.700000000000003,0.17191368148938177,3.414611677446463,3.414528423101019
21.8,0.1410328375600686,3.390711811950864,3.390636398502972
21.900000000000002,0.12278244408120129,3.3648831058825333,3.364814130234188
22.0,0.11104738284875731,3.3372658376937374,3.3372033742272458
22.1,0.09565074995023341,3.308005405321783,3.307946893474904
22.200000000000003,0.09894535745828147,3.277251604410319,3.2771956939282676
22.3,0.08543516214281974,3.2451578867461395,3.245104689943736
22.400000000000002,0.06596318199201037,3.2118806033699294,3.2118295465193216
22.5,0.051862514650069004,3.177578236863246,3.177528101468936
22.6,0.06608969815564661,3.1424106273244092,3.1423603080963023
22.700000000000003,0.05907306888423293,3.106538196523338,3.1064885332383256
22.8,0.04824415785900946,3.0701211746711814,3.0700718254724424
22.900000000000002,0.02908156185914302,3.0333188341561765,3.033269468811483
23.0,0.030633118213745845,2.996288734484312,2.9962403743444037
23.1,0.025591784376022744,2.9591859825239406,2.9591384912601106
23.200000000000003,0.03134297892036027,2.9221625119897174,2.9221173967556373
23.3,0.017967645784426577,2.885366385915343,2.8853245505235674
23.400000000000002,0.015904834726041685,2.8489411256589774,2.8489032471829976
23.5,0.017465335440803795,2.8130250697624106,2.812991592028782
23.6,0.017941547727969798,2.777750765747567,2.777722890476555
23.700000000000003,0.007032220987538607,2.743244397684306,2.7432236898905886
23.8,0.0004851810880835,2.70962525210419,2.7096130429353864
23.900000000000002,0.009818656541661116,2.6770052245684415,2.6770020621308612
24.0,-0.005090071639800381,2.6454883689270066,2.6454955265891478
24.1,0.013429539356489606,2.6151704910317313,2.6151890806774034
24.200000000000003,-0.006703720734264693,2.58613878839226,2.5861689046725775
24.3,0.000695904070587994,2.5584715369902704,2.558512062316593
24.400000000000002,0.006590116109293183,2.532237826197838,2.5322917520743675
24.5,0.003984283474319113,2.5074973424806446,2.507563571154167
24.6,0.012064196488910495,2.48430020230773,2.484380068805452
24.700000000000003,-0.002907997714596113,2.462686834437726,2.4627799393361993
24.8,0.011380186509708352,2.442687911507933,2.4427938432583938
24.900000000000002,0.0042536117312161285,2.4243243306179494,2.424442129935481
25.0,-0.008458902192366132,2.4076072423744614,2.407735457445958
25.1,0.0016257666477284601,2.392538127648495,2.3926762923129012
25.200000000000003,0.008718517153194388,2.3791089210913254,2.379255674812031
25.3,-0.009012284950549483,2.367302180260269,2.367456298725932
25.400000000000002,-0.010938274666279052,2.357091299020726,2.357251152406117
25.5,0.0032199923463044383,2.348440763716034,2.348604196763958
25.6,0.006236473644225699,2.3413064504315693,2.341473322847367
25.700000000000003,0.00776125580624398,2.3356359615239617,2.3358038048816887
25.8,-0.0006858742250122774,2.3313689994398215,2.3315363272067016
25.900000000000002,-0.011119598737809952,2.328437775710815,2.328603125226861
26.0,0.0006730742517647996,2.32676745288286,2.3269304420969346
26.1,-0.00874254123530403,2.3262766170165357,2.3264358831521643
26.200000000000003,-0.005081632183671788,2.3268777782830763,2.3270327318889175
26.3,-0.004655702358430242,2.3284778970757403,2.328626184854998
26.400000000000002,0.002529394348120668,2.3309789329594994,2.331121626352031
26.5,0.010361727644303872,2.3342784136933403,2.33441445968998
26.6,-0.006495662220812581,2.338270021478769,2.3383998552214376
26.700000000000003,-0.0054616320410333765,2.3428441935160547,2.3429681337250994
26.8,0.007839238890326455,2.3478887338863297,2.348006420116485
26.900000000000002,-0.0008094747970900147,2.353289433723692,2.3534020761787673
27.0,0.00652871110856389,2.358930696597368,2.3590393446360176
27.1,-0.008837879180552786,2.3646961659904226,2.3648016580692053
27.200000000000003,0.0016785795879964713,2.3704693517394153,2.3705724804929043
27.3,-0.009998775090869796,2.3761342522893427,2.376236328473137
27.400000000000002,-0.0045417659672926875,2.381575969621195,2.3816781137299095
27.5,-0.002626031351678755,2.3866813137263003,2.3867855366412183
27.6,-0.006400857157525768,2.391339393533147,2.3914462595084696
