time,input,output,transfer_func_mean,transfer_func_p10,transfer_func_p90
0.0,-0.0237336236456301,-0.0241582418090168,13.439050545791053,12.185315311936609,14.42363343130668
0.016666666666669938,-0.0233154216140633,-0.02374003977745,14.31435196489114,13.577465968958517,14.987553348678642
0.033333333333339876,-0.0228972195824966,-0.0233218377458833,12.171806020572832,11.551675983433118,12.65242584936679
0.050000000000009814,-0.0224790175509298,-0.0229036357143165,8.011957804482734,7.19872537921287,8.86598233081202
0.06666666666667975,-0.0220608155193609,-0.0224854336827477,4.031410827738198,3.2856108097446795,4.774194931152834
0.08333333333334969,-0.0216426134877942,-0.0220672316511809,1.173972624901029,0.43291312526899306,1.8310997075004642
0.10000000000001963,-0.0212244114562274,-0.0216490296196142,0.1928056467500633,0.0,0.6758460293987426
0.11666666666668957,-0.0208062094246607,-0.0212308275880474,0.1425354411530665,0.0,0.5390456304022386
0.1333333333333595,-0.0203880073930939,-0.0208126255564807,0.24141453402006285,0.0,0.7412274503742058
0.15000000000002944,-0.0199698053615272,-0.0203944235249139,0.23440999216815764,0.0,0.7286089687162673
0.16666666666669938,-0.0195516033299604,-0.0199762214933472,0.2753645165339401,0.0,0.6900295693050784
0.18333333333336932,-0.0191334012983916,-0.0195580194617783,0.24538445677371,0.0,0.7735643777723893
0.20000000000003926,-0.0187151992668248,-0.0191398174302115,0.16075759430963565,0.0,0.43512400207843777
0.2166666666667092,-0.0182969972352581,-0.0187216153986448,0.0986080871069237,0.0,0.3359391593315655
0.23333333333337913,-0.0178787952036913,-0.018303413367078,0.0544977376591352,0.0,0.3373406690330686
0.25000000000004907,-0.0174605931721246,-0.0178852113355113,0.03590142166736544,0.0,0.1714644490952747
0.266666666666719,-0.0170423911405578,-0.0174670093039445,0.08616749356924547,0.0,0.2501126242983698
0.28333333333338895,-0.0166241891089911,-0.0170488072723778,0.035081451998517144,0.0,0.0
0.3000000000000589,-0.0162059870774222,-0.0166306052408089,0.0,0.0,0.0
0.3166666666667288,-0.0157877850458554,-0.0162124032092422,0.012176532936777146,0.0,0.0
0.33333333333339876,-0.0153695830142887,-0.0157942011776754,0.009933250942970588,0.0,0.0
0.3500000000000687,-0.0149513809827219,-0.0153759991461087,0.007777767431794338,0.0,0.0
0.36666666666673864,-0.0145331789511552,-0.0149577971145419,0.0007680392574065844,0.0,0.0
0.3833333333334086,-0.0141149769195884,-0.0145395950829752,0.0,0.0,0.0
0.4000000000000785,-0.0136967748880217,-0.0141213930514084,0.0,0.0,0.0
0.41666666666674845,-0.0132785728564528,-0.0137031910198395,0.0,0.0,0.0
0.4333333333334184,-0.012860370824886,-0.0132849889882728,0.0,0.0,0.0
0.45000000000008833,-0.0124421687933193,-0.012866786956706,0.0,0.0,0.0
0.46666666666675827,-0.0120239667617525,-0.0124485849251393,0.0,0.0,0.0
0.4833333333334282,-0.0116057647301858,-0.0120303828935725,0.0,0.0,0.0
0.5000000000000981,-0.011187562698619,-0.0116121808620058,0.0,0.0,0.0
0.5166666666667681,-0.0107693606670523,-0.011193978830439,0.0,0.0,0.0
0.533333333333438,-0.0103511586354834,-0.0107757767988701,0.0,0.0,0.0
0.550000000000108,-0.0099329566039166,-0.0103575747673034,0.0,0.0,0.0
0.5666666666667779,-0.0095147545723499,-0.0099393727357366,0.0,0.0,0.0
0.5833333333334478,-0.0090965525407831,-0.0095211707041698,0.0,0.0,0.0
0.6000000000001178,-0.0086783505092164,-0.0091029686726031,0.0,0.0,0.0
0.6166666666667877,-0.0082601484776496,-0.0086847666410363,0.0,0.0,0.0
0.6333333333334576,-0.0078419464460829,-0.0082665646094696,0.0,0.0,0.0
0.6500000000001276,-0.007423744414514,-0.0078483625779007,0.0,0.0,0.0
0.6666666666667975,-0.0070055423829472,-0.007430160546334,0.0,0.0,0.0
0.6833333333334675,-0.0065873403513805,-0.0070119585147672,0.0,0.0,0.0
0.7000000000001374,-0.0061691383198137,-0.0065937564832005,0.0,0.0,0.0
