time,in,out
-2,-0.0235448308929669,0
-1.98333333333333,-0.0231266288614002,0
-1.96666666666667,-0.0227084268298334,0
-1.95,-0.0222902247982667,0
-1.93333333333333,-0.0218720227666978,0
-1.91666666666667,-0.021453820735131,0
-1.9,-0.0210356187035643,0
-1.88333333333333,-0.0206174166719975,0
-1.86666666666667,-0.0201992146404308,0
-1.85,-0.019781012608864,0
-1.83333333333333,-0.0193628105772973,0
-1.81666666666667,-0.0189446085457284,0
-1.8,-0.0185264065141617,0
-1.78333333333333,-0.0181082044825949,0
-1.76666666666667,-0.0176900024510282,0
-1.75,-0.0172718004194614,0
-1.73333333333333,-0.0168535983878947,0
-1.71666666666667,-0.0164353963563279,0
-1.7,-0.016017194324759,0
-1.68333333333333,-0.0155989922931923,0
-1.66666666666667,-0.0151807902616255,0
-1.65,-0.0147625882300588,0
-1.63333333333333,-0.014344386198492,0
-1.61666666666667,-0.0139261841669253,0
-1.6,-0.0135079821353585,0
-1.58333333333333,-0.0130897801037896,0
-1.56666666666667,-0.0126715780722229,0
-1.55,-0.0122533760406562,0
-1.53333333333333,-0.0118351740090894,0
-1.51666666666667,-0.0114169719775226,0
-1.5,-0.0109987699459559,0
-1.48333333333333,-0.0105805679143891,0
-1.46666666666667,-0.0101623658828203,0
-1.45,-0.00974416385125352,0
-1.43333333333333,-0.00932596181968677,0
-1.41666666666667,-0.00890775978812002,0
-1.4,-0.00848955775655327,0
-1.38333333333333,-0.00807135572498652,0
-1.36666666666667,-0.00765315369341977,0
-1.35,-0.00723495166185089,0
-1.33333333333333,-0.00681674963028414,0
-1.31666666666667,-0.00639854759871739,0
-1.3,-0.00598034556715064,0
-1.28333333333333,-0.00556214353558389,0
-1.26666666666667,-0.00514394150401714,0
-1.25,-0.00472573947245038,0
-1.23333333333333,-0.0043075374408815,0
-1.21666666666667,-0.00388933540931475,0
-1.2,-0.003471133377748,0
-1.18333333333333,-0.00305293134618125,0
-1.16666666666667,-0.0026347293146145,0
-1.15,-0.00221652728304775,0
-1.13333333333333,-0.001798325251481,0
-1.11666666666667,-0.00138012321991212,0
-1.1,-0.000961921188345372,0
-1.08333333333333,-0.000543719156778621,0
-1.06666666666667,-0.000125517125211871,0
-1.05,0.000292684906354879,0
-1.03333333333333,0.000710886937921629,0
-1.01666666666667,0.00112908896948838,0
-1,0.00154729100105726,0
-0.983333333333333,0.00196549303262401,0
-0.966666666666667,0.00238369506419076,0
-0.95,0.00280189709575751,0
-0.933333333333334,0.00322009912732426,0
-0.916666666666667,0.00363830115889101,0
-0.9,0.00405650319045776,8.6909646146438e-16
-0.883333333333334,0.00447470522202664,0.0016484272887441
-0.866666666666666,0.00489290725359339,0.00329685457748741
-0.85,0.00531110928516014,0.00494528186623064
-0.833333333333333,0.00572931131672689,0.00659370915497387
-0.816666666666666,0.00614751334829364,0.0082421364437171
