time,in,out
4.18333333333333,2.78842058880627,3.87602672959261
4.2,2.22063802836467,2.52601153757907
4.21666666666667,1.28842426304762,1.54137259604175
4.23333333333333,0.717142665934348,0.758790986679714
4.25,0.720785437093172,0.980046520586492
4.26666666666667,0.863628857238492,0.767159738042898
4.28333333333333,0.708259896352317,0.403783293958953
4.3,0.504652716800517,0.196139611625271
4.31666666666667,0.307813193025355,0.199307773453182
4.33333333333333,0.309515074877467,0.200401018101951
4.35,0.306037079529171,0.197227479598494
4.36666666666667,0.303408486801413,0.204127586227261
4.38333333333333,0.154534069451119,0.197772425374194
4.4,0.147708082198342,0.20730921544369
4.41666666666667,0.158741115748511,0.20149697602586
4.43333333333333,-0.0578130557865236,0.0432817001443624
4.45,0.150837157049166,0.0437630162930127
4.46666666666667,0.148198453682041,0.197320276173116
4.48333333333333,0.148198453682041,0.0473682542456967
4.5,0.153193387350997,0.195223819942246
4.51666666666667,-0.0516861567903007,0.20160603590266
4.53333333333333,0.153193387350997,0.20160603590266
4.55,-0.0629695283370729,0.0372702089830035
4.56666666666667,-0.0562809300916154,0.19366553173412
4.58333333333333,0.152906824708673,0.0471497610453408
4.6,-0.0522317764842917,0.0502890554151783
4.61666666666667,-0.256316086819584,0.204918641501264
4.63333333333333,-0.0515303895935798,0.204364820756131
4.65,-0.0474680663942472,0.0512677230186721
4.66666666666667,-0.0494212276186385,-0.166253844577888
4.68333333333333,-0.0494212276186385,0.0490989112708753
4.7,-0.0480109384554854,-0.165464709505362
4.71666666666667,-0.0506762041444496,0.20447557583599
4.73333333333333,-0.047304535477404,0.198038728771076
4.75,-0.0499718610155224,0.201808250297871
4.76666666666667,-0.26184845077747,-0.161208323809246
4.78333333333333,-0.0492666795413715,-0.161208323809246
4.8,-0.0458892059632802,0.0547131798055027
4.81666666666667,-0.0485606583699617,0.0520417273988212
4.83333333333333,0.172053131704935,-0.160408373681914
4.85,-0.0316295940495589,-0.154658446566285
4.86666666666667,-0.043048414646157,0.0535217890953124
4.88333333333333,-0.0450179095400777,0.0481602425892394
4.9,-0.0450179095400777,-0.155714741008485
4.91666666666667,-0.0409089123734152,0.0486507300011308
4.93333333333333,-0.241621747721121,-0.155714741008485
4.95,-0.243675732231851,0.0523216867106491
4.96666666666667,-0.0394783146400499,-0.160683039974284
4.98333333333333,-0.0394783146400499,-0.157590767504939
5,-0.0360715904059909,0.062380277618194
5.01666666666667,-0.032661920224999,0.062380277618194
5.03333333333333,0.165304827456069,0.0462561276869067
5.05,-0.244475630071944,-0.150166191510441
5.06666666666667,-0.240514423389462,-0.149754347163591
5.08333333333333,-0.0324653272370131,-0.149341922201264
5.1,-0.0248836547865011,-0.161367317074534
5.11666666666667,-0.0385874300394271,-0.152042532739799
5.13333333333333,0.174553135604647,0.0508246568734009
5.15,-0.235266349431386,-0.151631627115107
5.16666666666667,-0.244651905512798,0.0567955967519481
5.18333333333333,-0.243387114296732,-0.153517103410471
5.2,-0.0357071311575002,0.0610098098851644
5.21666666666667,0.171713822264689,0.0501557959305249
5.23333333333333,-0.236055374712313,-0.149982192530489
