time,input,output,transfer_func_mean,transfer_func_p10,transfer_func_p90
0.0,-0.0028335943221264,-0.0027454766538838,26.981856199936132,26.280968078782113,27.808274772274967
0.016666666666669938,-0.0028335943221264,-0.0027454766538838,23.779978869411604,22.89020562653788,24.72285630866643
0.033333333333339876,-0.0028335943221264,-0.0027454766538838,9.242219452856913,8.728485509940889,9.727375797947325
0.050000000000009814,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.06666666666667975,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.08333333333334969,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.10000000000001963,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.11666666666668957,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.1333333333333595,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.15000000000002944,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.16666666666669938,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.18333333333336932,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.20000000000003926,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.2166666666667092,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.23333333333337913,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.25000000000004907,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.266666666666719,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.28333333333338895,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.3000000000000589,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.3166666666667288,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.33333333333339876,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.3500000000000687,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.36666666666673864,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.3833333333334086,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.4000000000000785,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.41666666666674845,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.4333333333334184,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.45000000000008833,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.46666666666675827,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.4833333333334282,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.5000000000000981,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.5166666666667681,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.533333333333438,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.550000000000108,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.5666666666667779,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.5833333333334478,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6000000000001178,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6166666666667877,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6333333333334576,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6500000000001276,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6666666666667975,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.6833333333334675,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.7000000000001374,-0.0028335943221264,-0.0027454766538838,6.98792180414382e-05,0.0,0.0
0.7166666666668073,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.7333333333334773,-0.0028335943221264,-0.0027454766538838,0.001221452733431827,0.0,0.0
0.7500000000001472,-0.0028335943221264,-0.0027454766538838,0.00022316473879221594,0.0,0.0
0.7666666666668172,-0.0028335943221264,-0.0027454766538838,0.0016947127426541312,0.0,0.0
0.7833333333334871,-0.0028335943221264,-0.0027454766538838,0.00013517026337892142,0.0,0.0
0.800000000000157,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.816666666666827,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.8333333333334969,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.8500000000001668,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
0.8666666666668368,-0.0028335943221264,-0.0027454766538838,0.0,0.0,0.0
