time,in,out
-2,-0.0237336236456301,-0.0241582418090168
-1.98333333333333,-0.0233154216140633,-0.02374003977745
-1.96666666666667,-0.0228972195824966,-0.0233218377458833
-1.95,-0.0224790175509298,-0.0229036357143165
-1.93333333333333,-0.0220608155193609,-0.0224854336827477
-1.91666666666667,-0.0216426134877942,-0.0220672316511809
-1.9,-0.0212244114562274,-0.0216490296196142
-1.88333333333333,-0.0208062094246607,-0.0212308275880474
-1.86666666666667,-0.0203880073930939,-0.0208126255564807
-1.85,-0.0199698053615272,-0.0203944235249139
-1.83333333333333,-0.0195516033299604,-0.0199762214933472
-1.81666666666667,-0.0191334012983916,-0.0195580194617783
-1.8,-0.0187151992668248,-0.0191398174302115
-1.78333333333333,-0.0182969972352581,-0.0187216153986448
-1.76666666666667,-0.0178787952036913,-0.018303413367078
-1.75,-0.0174605931721246,-0.0178852113355113
-1.73333333333333,-0.0170423911405578,-0.0174670093039445
-1.71666666666667,-0.0166241891089911,-0.0170488072723778
-1.7,-0.0162059870774222,-0.0166306052408089
-1.68333333333333,-0.0157877850458554,-0.0162124032092422
-1.66666666666667,-0.0153695830142887,-0.0157942011776754
-1.65,-0.0149513809827219,-0.0153759991461087
-1.63333333333333,-0.0145331789511552,-0.0149577971145419
-1.61666666666667,-0.0141149769195884,-0.0145395950829752
-1.6,-0.0136967748880217,-0.0141213930514084
-1.58333333333333,-0.0132785728564528,-0.0137031910198395
-1.56666666666667,-0.012860370824886,-0.0132849889882728
-1.55,-0.0124421687933193,-0.012866786956706
-1.53333333333333,-0.0120239667617525,-0.0124485849251393
-1.51666666666667,-0.0116057647301858,-0.0120303828935725
-1.5,-0.011187562698619,-0.0116121808620058
-1.48333333333333,-0.0107693606670523,-0.011193978830439
-1.46666666666667,-0.0103511586354834,-0.0107757767988701
-1.45,-0.00993295660391666,-0.0103575747673034
-1.43333333333333,-0.00951475457234991,-0.00993937273573664
-1.41666666666667,-0.00909655254078316,-0.00952117070416989
-1.4,-0.00867835050921642,-0.00910296867260314
-1.38333333333333,-0.00826014847764966,-0.00868476664103639
-1.36666666666667,-0.00784194644608291,-0.00826656460946964
-1.35,-0.00742374441451403,-0.00784836257790076
-1.33333333333333,-0.00700554238294728,-0.00743016054633401
-1.31666666666667,-0.00658734035138053,-0.00701195851476726
-1.3,-0.00616913831981378,-0.00659375648320051
-1.28333333333333,-0.00575093628824703,-0.00617555445163376
-1.26666666666667,-0.00533273425668028,-0.00575735242006701
-1.25,-0.00491453222511353,-0.00533915038850026
-1.23333333333333,-0.00449633019354465,-0.00492094835693138
-1.21666666666667,-0.0040781281619779,-0.00450274632536463
-1.2,-0.00365992613041115,-0.00408454429379788
-1.18333333333333,-0.0032417240988444,-0.00366634226223113
-1.16666666666667,-0.00282352206727765,-0.00324814023066438
-1.15,-0.0024053200357109,-0.00282993819909763
-1.13333333333333,-0.00198711800414415,-0.00241173616753088
-1.11666666666667,-0.00156891597257527,-0.00199353413596199
-1.1,-0.00115071394100852,-0.00157533210439524
-1.08333333333333,-0.000732511909441769,-0.00115713007282849
-1.06666666666667,-0.000314309877875019,-0.000738928041261744
-1.05,0.000103892153691731,-0.000320726009694994
-1.03333333333333,0.000522094185258481,9.74760218717563e-05
-1.01666666666667,0.000940296216825232,0.000515678053438506
-1,0.00135849824839411,0.000933880085007388
-0.983333333333333,0.00177670027996086,0.00135208211657414
-0.966666666666667,0.00219490231152761,0.00177028414814089
-0.95,0.00261310434309436,0.00218848617970764
-0.933333333333334,0.00303130637466111,0.00260668821127439
-0.916666666666667,0.00344950840622786,0.00302489024284114
-0.9,0.00386771043779461,0.00344309227440789
-0.883333333333334,0.0042859124693635,0.00386129430597677
-0.866666666666666,0.00470411450093024,0.00427949633754352
-0.85,0.005122316532497,0.00469769836911027
-0.833333333333333,0.00554051856406375,0.00511590040067702
-0.816666666666666,0.0059587205956305,0.00553410243224377
-0.8,0.00637692262719725,0.00595230446381052
-0.783333333333333,0.006795124658764,0.00637050649537727
-0.766666666666667,0.00721332669033288,0.00678870852694615
-0.75,0.00763152872189963,0.0072069105585129
-0.733333333333333,0.00804973075346638,0.00762511259007965
-0.716666666666667,0.00846793278503313,0.0080433146216464
-0.7,0.00888613481659988,0.00846151665321315
-0.683333333333334,0.00930433684816663,0.0088797186847799
-0.666666666666667,0.00972253887973338,0.00929792071634665
-0.65,0.0101407409113023,0.00971612274791553
-0.633333333333334,0.010558942942869,0.0101343247794823
-0.616666666666666,0.0109771449744358,0.010552526811049
-0.6,0.0113953470060025,0.0109707288426158
