time,input,output,kernel,transfer_func_mean,transfer_func_p10,transfer_func_p90
0.0,4.1232037063561136e-11,0.0012444066363392968,0.0,0.022561368426725025,0.021239236403508104,0.02371272763563386
0.1,6.862897346441585e-11,-0.00029246222317665766,0.016,0.026046728597254033,0.025201702563449602,0.026742436798110635
0.2,1.1366029442577183e-10,-0.00020864273640908626,0.032,0.03246830189028381,0.03175822622088745,0.033433376723050655
0.30000000000000004,1.873003586449225e-10,-0.0015321483209359789,0.048,0.04155048804322143,0.040794957908151595,0.042327862780561346
0.4,3.071121483486536e-10,0.0013811303829431958,0.064,0.05311165072651042,0.05201412707282946,0.05406278319972058
0.5,5.010533092445761e-10,0.000631466489573255,0.08,0.06697540504380348,0.0659963364100311,0.06783836828694437
0.6000000000000001,8.133911119927455e-10,-0.00021558884280558372,0.096,0.08235585008915376,0.08113434584585964,0.0834133659795463
0.7000000000000001,1.3138429553654698e-09,-0.0015774578969301996,0.112,0.09949440413332342,0.09824476276411753,0.10064584412378191
0.8,2.1116213069177406e-09,-0.0012290116097348992,0.128,0.11770105334585057,0.11662332757354771,0.11896338037798937
0.9,3.3768918886329615e-09,0.000653641335469203,0.144,0.1369158297780433,0.13585656602649984,0.13795469696487106
1.0,5.373370903578122e-09,0.0002927056175748163,0.16,0.15653382199716154,0.15551856755390586,0.15754901196046425
1.1,8.50756001384682e-09,0.0012447836995031247,0.176,0.17655177723986964,0.17569784273293354,0.17771259209744836
1.2000000000000002,1.340268349466893e-08,0.0008961680517974135,0.192,0.1967147532190052,0.195668925624426,0.1978960509313619
1.3,2.1009080230160768e-08,-0.0011032626305505903,0.208,0.21677036296833402,0.21575893587654232,0.21773427137820267
1.4000000000000001,3.2768069317632966e-08,-0.000544383743242742,0.224,0.2363535841935426,0.2352413708860207,0.23761582630559938
1.5,5.085377571099748e-08,-0.0010519194402913458,0.24,0.25511605463406617,0.2537861382593636,0.25635101302003316
1.6,7.85279187970932e-08,0.00128867837561976,0.256,0.27280057140481945,0.2716126644085028,0.2738910056786882
1.7000000000000002,1.2065727315590785e-07,-0.0008235688956466239,0.272,0.28954464621736953,0.28841734398481367,0.29089912776304017
1.8,1.8446393042566792e-07,0.0006952515527234692,0.288,0.304556168103057,0.30324867883120427,0.30560881770816306
1.9000000000000001,2.806066396565989e-07,-0.0005727734710364497,0.304,0.3179810170190568,0.3170734441527634,0.3189982530079407
2.0,4.247300223634894e-07,-0.0014614516301321779,0.32,0.329622071432197,0.328364858068914,0.33076490951593335
2.1,6.396707762547457e-07,0.0008276868370148869,0.336,0.3393847083554197,0.33836143459520573,0.3407322271084348
2.2,9.585805033937248e-07,0.0005079217378304523,0.352,0.34698432414042507,0.34588312530165954,0.3478651600239189
2.3000000000000003,1.429319124070592e-06,-8.132120740605594e-05,0.368,0.3525839382720456,0.3512169885317933,0.3536169049347338
2.4000000000000004,2.1205980058970498e-06,0.001357615591288276,0.384,0.35572696143959603,0.3545752606685607,0.35694041785143893
2.5,3.1305166919790286e-06,-0.001720810061765993,0.4,0.3566116454136921,0.3553601187145188,0.35794266384570883
2.6,4.598352175607767e-06,0.00030138456282839774,0.384,0.3551645184729705,0.35400235145002945,0.3564987811009936
2.7,6.7207380132641e-06,-0.0002445685637049866,0.368,0.351437220882524,0.3500875044352214,0.35271514813033294
2.8000000000000003,9.77372765018691e-06,-0.00019587635185533867,0.352,0.3454721250724112,0.34410802371928595,0.3468098187035932
2.9000000000000004,1.4142690268488833e-05,0.0016479121609035315,0.336,0.33749534688588173,0.3360713014714237,0.338679626136301
3.0,2.036255909128299e-05,-0.0005264990477158271,0.32,0.3275818777603667,0.32633045413081974,0.3286566398745272
3.1,2.9171664834598936e-05,-0.0009723488615626607,0.304,0.31577121740963116,0.31474759669054686,0.31686738907068696
3.2,4.1583266606310716e-05,-0.0009664468800378892,0.288,0.30226915008165406,0.30109936452998465,0.30335008048974504
3.3000000000000003,5.897996632193274e-05,0.0008679967715077058,0.272,0.28725133309409323,0.2861128177925657,0.28820539384662813
3.4000000000000004,8.323748847084009e-05,-0.0008576607712704188,0.256,0.2710955484182445,0.27019320190484253,0.27217291629272755
3.5,0.0001168858515663042,-0.0017200626220722753,0.24,0.253625228901663,0.25250917002620377,0.2545471933780893
3.6,0.00016331777427950608,0.0006639666997644958,0.224,0.2355467487721666,0.23450526406133118,0.23654974026166836
3.7,0.00022705626526384602,-0.0014068149484467406,0.208,0.21674305868570354,0.21560230223859445,0.21785676202769821
3.8000000000000003,0.0003140957481890402,-0.0008444665570897119,0.192,0.19747602736891454,0.19636690219470895,0.19843722284913556
3.9000000000000004,0.0004323337650932736,0.0015281235481733127,0.176,0.17802279430564358,0.176925696853787,0.17913123751518306
4.0,0.0005921132543572178,-0.0017203082550795164,0.16,0.15871506536590374,0.15747806902186523,0.15957531065321762
4.1000000000000005,0.0008068985606909844,-0.0011033855823341955,0.144,0.13942049765999526,0.13848916633772046,0.14030627157301026
4.2,0.0010941116167318596,4.0190547978954876e-05,0.128,0.12068884893489915,0.11978696521058928,0.12165495676745597
4.3,0.0014761580122163915,-0.0008656565172807059,0.112,0.10275188866707931,0.10159374642828539,0.10374065424718204
4.4,0.001981675763034531,0.00045505059596132215,0.096,0.08576471441445176,0.08492477979899599,0.08675012404613337
4.5,0.00264704228103316,-0.0004946859243872587,0.08,0.06981799788190152,0.06893674114883122,0.07069690571599832
4.6000000000000005,0.0035181770399018513,-0.0010260999182264,0.064,0.055091327951322745,0.0543080842352189,0.05610219706730976
4.7,0.004652678385304558,-0.0008191035798475711,0.048,0.041661202481329526,0.0406038513222828,0.04250317980434687
4.800000000000001,0.006122332440462384,-7.195092351914554e-05,0.032,0.029857885006731595,0.028728829883926343,0.030821326088501834
4.9,0.008016029647891287,0.0009609335506115617,0.016,0.01975139868641184,0.01881109111927569,0.020525379322085882
5.0,0.01044311965517516,-0.0012390845993491702,0.0,0.011753544397207145,0.010960712567228713,0.012624393285557693
5.1000000000000005,0.013537227460888016,-0.0005647144520654292,0.0,0.005482501173559517,0.004581821599094914,0.006286664081234667
5.2,0.017460542446342733,-0.0012036413607007732,0.0,0.0016419904622271117,0.000813353463993304,0.002284726821028064
5.300000000000001,0.02240857661977043,0.0016728815709493908,0.0,8.924193664997523e-05,0.0,0.00030704050426629925
5.4,0.028615368652776862,0.0019372007160154037,0.0,1.5947418823529161e-06,0.0,0.0
5.5,0.03635908577535717,0.0015447813605852254,0.0,0.0,0.0,0.0
5.6000000000000005,0.04596794617174611,-0.0003549014433178797,0.0,3.054829048989214e-06,0.0,0.0
5.7,0.05782635027692315,0.0008701415063755186,0.0,0.0,0.0,0.0
5.800000000000001,0.07238107070171419,0.0019340584438976166,0.0,2.4904611895117606e-06,0.0,0.0
