time,input,output,kernel,transfer_func_mean,transfer_func_p10,transfer_func_p90
0.0,4.1232037063561136e-11,0.000785949860891422,0.0,0.014825538142698495,0.013005205208913719,0.01663614391212071
0.1,6.862897346441585e-11,-0.00036434146792077603,0.016,0.02272331595363444,0.021725586857786534,0.02394411853611464
0.2,1.1366029442577183e-10,-0.0013627738991237143,0.032,0.032389341638476725,0.031499717705143655,0.03335494957575412
0.30000000000000004,1.873003586449225e-10,-0.0009925170234765684,0.048,0.043901419411653785,0.04300124666121204,0.04476921346183643
0.4,3.071121483486536e-10,-0.0011640177565852186,0.064,0.05673444820144391,0.05543778670235561,0.0580398785202948
0.5,5.010533092445761e-10,-0.0012615387872120304,0.08,0.07117160252191643,0.06983876167143295,0.07276284151822786
0.6000000000000001,8.133911119927455e-10,-0.000847395147851977,0.096,0.08673172174069989,0.08534615714447778,0.08810176250652771
0.7000000000000001,1.3138429553654698e-09,-0.0008193240648082485,0.112,0.10322573665026098,0.1018985872298975,0.10425664126600674
0.8,2.1116213069177406e-09,-0.0008960619482921383,0.128,0.1206535469894295,0.11951220828076942,0.1219270386005418
0.9,3.3768918886329615e-09,-0.0009836150529788704,0.144,0.1387550499681669,0.13768075396166254,0.13980458217009506
1.0,5.373370903578122e-09,7.573065800327855e-05,0.16,0.15709325440063254,0.15580869313551815,0.15838584278876644
1.1,8.50756001384682e-09,-0.0009109802936016512,0.176,0.1760619573117753,0.17451048177117626,0.17730593020832253
1.2000000000000002,1.340268349466893e-08,-0.000624214514048893,0.192,0.19496594304347456,0.19347477340636735,0.19607956368336155
1.3,2.1009080230160768e-08,-0.001051091172400846,0.208,0.21387252945387752,0.21251170988060708,0.21520645814673994
1.4000000000000001,3.2768069317632966e-08,-0.0013589989731430001,0.224,0.2326864331788567,0.2314710579485016,0.23400503313364177
1.5,5.085377571099748e-08,-0.0006518730968077562,0.24,0.25114558052583164,0.2499588902728049,0.2524194109877529
1.6,7.85279187970932e-08,-0.0011431527760273545,0.256,0.2688525923208545,0.2675250557708684,0.2702454668708773
1.7000000000000002,1.2065727315590785e-07,0.001714267983997201,0.272,0.285841569100219,0.28427536327698805,0.28727348425435484
1.8,1.8446393042566792e-07,-0.00027563650644085036,0.288,0.30178911232705946,0.3000938363693375,0.3030759450638698
1.9000000000000001,2.806066396565989e-07,-0.000938991478661821,0.304,0.31642045845752964,0.315015920548263,0.31785047223006324
2.0,4.247300223634894e-07,0.0017269552694385828,0.32,0.32936146901682434,0.32778105827634474,0.3306242211631114
2.1,6.396707762547457e-07,6.480719009243633e-05,0.336,0.34014851063581597,0.338520879615125,0.3413858973427213
2.2,9.585805033937248e-07,0.0009762654844499133,0.352,0.34881420663525503,0.3472703268213141,0.35019372504947954
2.3000000000000003,1.429319124070592e-06,-0.0008697148246311972,0.368,0.3549936976953755,0.3532494726230595,0.35607215179599283
2.4000000000000004,2.1205980058970498e-06,-0.0005430006985202282,0.384,0.35865248379673986,0.3572708759323799,0.35989144310281884
2.5,3.1305166919790286e-06,0.0008920204128164131,0.4,0.3597337720812862,0.35829410379197113,0.36074407499491556
2.6,4.598352175607767e-06,0.0015929576538818771,0.384,0.3581082066792422,0.3568680853643378,0.3592912783809153
2.7,6.7207380132641e-06,0.0009147541794760437,0.368,0.3539238416808284,0.3524680252171644,0.3551675678554276
2.8000000000000003,9.77372765018691e-06,-0.000588776454142242,0.352,0.34732280522186326,0.3460013262036639,0.3490759248457199
