time,input,output,kernel,transfer_func_mean,transfer_func_p10,transfer_func_p90
0.0,0.011665698506893378,0.0,0.0,0.020036766037623017,0.016004519653819844,0.023891566748260387
0.1,-0.007965637815022185,6.597125930169782e-14,0.016,0.023530378924129805,0.01845794265593303,0.027632523808912186
0.2,-0.007362122591224645,2.41748876146461e-13,0.032,0.030661070106434377,0.02582098464622428,0.03494578568080191
0.30000000000000004,-0.011929382289062042,5.993829640724591e-13,0.048,0.041315566167772606,0.036481382952225805,0.04671994104300448
0.4,-0.0036764147596290092,1.2566976258303334e-12,0.064,0.054612077453545876,0.04914963677432897,0.059426027777899015
0.5,-0.0023312992903332243,2.405391724946053e-12,0.08,0.06966275845764226,0.06524994516076355,0.07369989116153207
0.6000000000000001,-0.002609689708072068,4.355771118853095e-12,0.096,0.08613029679313203,0.08094249944552256,0.0917586800435866
0.7000000000000001,0.0037283864860241144,7.60757629194853e-12,0.112,0.10229347720900352,0.09827986828453815,0.10643329176638415
0.8,-0.008026376247967574,1.2961530193628715e-11,0.128,0.1186191819616289,0.1134829721908396,0.1238065109244598
0.9,0.008433943770312452,2.169407818637729e-11,0.144,0.13638635666210522,0.13076949894399514,0.14146932003997906
1.0,-0.002251517393755717,3.58296532009386e-11,0.16,0.15589330000587576,0.14967153440029352,0.16165211659622328
1.1,0.003090757290582614,5.85626216612249e-11,0.176,0.17553523411725327,0.16902235361923687,0.18186562111334173
1.2000000000000002,-0.01162527062681392,9.490768614366613e-11,0.192,0.19595476009947715,0.18987014470635688,0.2020965205529111
1.3,0.002968503810458492,1.5269704421757763e-10,0.208,0.2151602350036864,0.21034619509829422,0.21999392234677015
1.4000000000000001,-0.00547902500915356,2.4410093065974635e-10,0.224,0.23391773957506523,0.22933724511742992,0.23864980946919892
1.5,-0.0041417347034315155,3.8793372801012785e-10,0.24,0.2533597373510318,0.2467270190539027,0.2577086809062279
1.6,0.003884975371307242,6.131325664981052e-10,0.256,0.27144595646767616,0.2658650984654598,0.27700252635956396
1.7000000000000002,-0.003072944769058437,9.639760750614318e-10,0.272,0.28884048960314074,0.2836295860160494,0.294373624198341
1.8,0.009379658138188798,1.5078712206742109e-09,0.288,0.3037950647360962,0.298394970828556,0.3102662370306619
1.9000000000000001,-0.011353531833349308,2.3469086549680593e-09,0.304,0.3181010693869128,0.3116056679368155,0.3249594129900054
2.0,0.006405207136585658,3.6349167127124647e-09,0.32,0.3306236334319531,0.3240324411554661,0.3371126964350559
2.1,-0.008092564777694562,5.602492806238454e-09,0.336,0.3403002201498791,0.3333508838570135,0.34685294183572346
2.2,0.005832231411267325,8.593542141772036e-09,0.352,0.3479540066764275,0.33979873616405387,0.3555893966093733
2.3000000000000003,-0.008956850300653922,1.3118320282735578e-08,0.368,0.3535207589638192,0.3461824274695147,0.3593599678434549
2.4000000000000004,-0.009631770675557745,1.993000902221207e-08,0.384,0.35749330903014487,0.351257919834974,0.36425373854483817
2.5,-0.005406780728825317,3.013465457112384e-08,0.4,0.3584415201916963,0.3528510783136581,0.3664761226889918
2.6,-0.0014636362233639132,4.534799488468345e-08,0.384,0.35765625628446013,0.3516688084860918,0.36348617314037784
2.7,-0.00028278990613648944,6.791847906650041e-08,0.368,0.35246530028275364,0.34576882153532373,0.3579335218676952
2.8000000000000003,-0.008522354015492437,1.0124178035659774e-07,0.352,0.34712845037305956,0.33961207263372706,0.35450879770226323
2.9000000000000004,0.004617135300741354,1.502024465258465e-07,0.336,0.33784255854701256,0.33096036974724474,0.34465863946129166
3.0,-0.009177113588604133,2.2179043436580268e-07,0.32,0.32675174465043416,0.3203633070982876,0.3346552928805215
3.1,0.004632272564809522,3.25956913381222e-07,0.304,0.3139509177161176,0.3076600807944183,0.3206818023018487
3.2,-0.005390557580843788,4.7679545328044134e-07,0.288,0.2998015960306936,0.2930977528308389,0.3058472911468913
