time,input,output,kernel
0.0,0.017988729546008678,0.0,0.0
0.1,0.04687259791610312,1.06946308414701e-06,0.0005945184074348938
0.2,0.038054568529274094,6.8558812427734506e-06,0.0022620936102375
0.30000000000000004,0.008980737187946128,2.1574646513588644e-05,0.00484148250682416
0.4,-0.03692036606705395,4.6563433786399685e-05,0.008187307766571767
0.5,-0.03898526487213717,7.852669228373011e-05,0.012168762585947325
0.6000000000000001,-0.04841685899260223,0.00011185748080054698,0.01666841044538376
0.7000000000000001,-0.044181042954153725,0.00014103905230081703,0.021581073369163886
0.8,-0.010042549735913437,0.00016106680670739288,0.026812802613626056
0.9,0.02918530351279496,0.00016996325827927332,0.03227992610550423
1.0,-0.007431908808268516,0.00017036496417006965,0.03790816732378316
1.1,0.03111952045923551,0.00016464129494675572,0.04363183066660763
1.2000000000000002,-0.009367041282570463,0.0001550957028523034,0.04939304867096701
1.3,0.03324959674046065,0.00014351145326262408,0.05514108675842868
1.4000000000000001,-0.023606780241369127,0.00013168286277076837,0.060831701466381984
1.5,0.050141291199938744,0.0001201872273470012,0.06642654839226937
1.6,-0.03507799436407741,0.00011068956257964327,0.0718926363292413
1.7000000000000002,-0.031910578653534964,0.0001037144516834889,0.07720182430662759
1.8,-0.005900208494294816,9.506576046665417e-05,0.08233035846856036
1.9000000000000001,-0.02119386766689661,8.286988909410916e-05,0.08725844592993827
2.0,0.0239987901388327,6.610182979237421e-05,0.09196986294156438
2.1,-0.01273920475037962,4.5734754845308384e-05,0.0964515948765385
2.2,0.040006226385941986,2.300509972560222e-05,0.1006935057186111
2.3000000000000003,-0.0034401094080666788,5.4214968288812324e-08,0.1046880348909327
2.4000000000000004,0.031517859421919814,-2.0870719307400324e-05,0.10842991941114112
2.5,0.049946602904118634,-3.8225772789414296e-05,0.11191593949665642
2.6,-0.008588116142777392,-4.763212679537586e-05,0.1151446858730019
2.7,-0.012885566728370355,-4.781248963107495e-05,0.11811634715849884
2.8000000000000003,-0.009151141274607298,-4.129692538402405e-05,0.12083251581132651
2.9000000000000004,0.014476194370465253,-3.0331075311684082e-05,0.12329601123018964
3.0,-0.01609916391799883,-1.526389717876656e-05,0.1255107186981619
3.1,0.012552517942810534,3.0926158872813907e-06,0.12748144295111394
3.2,-0.022680489584458122,2.398902407680869e-05,0.1292137752378965
3.3000000000000003,-0.03737313115676027,4.628597233539093e-05,0.13071397281952302
3.4000000000000004,-0.03858813258176468,6.612453961699567e-05,0.1319888499293391
3.5,0.010726297213139155,7.929485502514746e-05,0.13304567928592173
3.6,0.021109129023781138,8.508107934247708e-05,0.13389210331553653
3.7,-0.040802602223799285,8.632351523548453e-05,0.13453605430169466
3.8000000000000003,0.018672581215988554,8.240446573444883e-05,0.1349856827359743
3.9000000000000004,0.05181020924821725,7.28630179395737e-05,0.13524929319706755
4.0,0.027464405283418435,6.267593642849054e-05,0.13533528713422738
4.1000000000000005,-0.02408481506747265,5.655900873034002e-05,0.13525211197715606
4.2,-0.03148124942454399,5.410225303163303e-05,0.1350082160371077
4.3,0.01125519355952746,5.1572850297734214e-05,0.1346120087037819
4.4,0.023274448102854426,4.788120289531128e-05,0.13407182547965138
4.5,0.029465406395955466,4.522935015577653e-05,0.1333958974278704
4.6000000000000005,-0.03729528563638715,4.6553514932025974e-05,0.1325923246420261
4.7,-0.012800609802816961,5.0734391967604755e-05,0.13166905337587148
4.800000000000001,-0.015034035742055158,5.446915961536689e-05,0.13063385649896891
4.9,0.040516277950542495,5.617014945401098e-05,0.12949431697001443
5.0,0.04611413779396766,5.766094881602454e-05,0.12825781404362752
5.1000000000000005,-0.011435961419362638,6.398671533014269e-05,0.12693151194871313
5.2,0.04607122809416557,7.635085617909762e-05,0.1255223507972294
5.300000000000001,0.0548727898777028,9.591034759471344e-05,0.12403703950144532
5.4,0.05138952075907774,0.0001273844999308031,0.12248205049563937
5.5,0.03073712612345337,0.00017504001704511305,0.1208636160747665
5.6000000000000005,0.07650957529199215,0.0002410072355769152,0.11918772617799711
5.7,0.036091699847808356,0.0003285389974307951,0.11746012745928443
5.800000000000001,0.09241410862061984,0.00044046164244477843,0.11568632350032676
5.9,0.04516546156191157,0.0005800891984895259,0.11387157603352462
6.0,0.11556925154712307,0.0007504427570324062,0.11202090705386158
6.1000000000000005,0.09718754843801819,0.0009554043241519515,0.11013910170911938
6.2,0.2044701365686847,0.001200941146781253,0.10823071186753387
6.300000000000001,0.24712293878469932,0.0014972192983299382,0.10630006027096062
6.4,0.20492305855371792,0.0018612069959498497,0.10435124518990133
6.5,0.33177204191960397,0.0023069025043115014,0.10238814550438806
6.6000000000000005,0.3820829204234288,0.0028508933563923464,0.10041442614178052
6.7,0.43520855471466585,0.003516879548686299,0.09843354380903915
6.800000000000001,0.4703256956492489,0.00433034399562655,0.0964487529630368
6.9,0.5967630835723761,0.005317199691827482,0.09446311196799702
7.0,0.6775319644261979,0.006507941530064603,0.09247948939423128
7.1000000000000005,0.8941055647208516,0.007939223197080793,0.09050057041702672
7.2,0.9832365498790386,0.009658209532676631,0.08852886327883196
7.300000000000001,1.1463679864525882,0.01172085679978447,0.08656670578183652
7.4,1.316018621962491,0.014187454222981675,0.08461627178165919
7.5,1.5200545135663024,0.017126129840028714,0.08267957765617845
7.6000000000000005,1.7487264463396106,0.02061364646195145,0.08075848872657745
7.7,1.9747349474843425,0.02473701452752539,0.07885472561045327
7.800000000000001,2.2116595248345967,0.029592625115056927,0.0769698704893798
7.9,2.568784487084877,0.035284691253493136,0.07510537327563029
8.0,2.8662587914767927,0.041931105363187234,0.07326255766487587
8.1,3.2338219023741646,0.04966386049533428,0.0714426270635988
8.200000000000001,3.5789142980125384,0.05862684249046832,0.06964667038170433
8.3,3.9292501996407907,0.06897566511246243,0.06787566768239998
8.4,4.2591081887962075,0.0808738423330501,0.06613049568284463
8.5,4.651803232291247,0.09448945839601758,0.06441193310036865
8.6,5.12620004071569,0.10999574928636678,0.06272066584023471
8.700000000000001,5.524408297411583,0.12757738074141498,0.061057292021963805
8.8,5.999505506087782,0.14742743142903164,0.05942232684219599
8.9,6.382219696861348,0.1697448875392736,0.057816207272902945
9.0,6.77317791259348,0.19473101585331737,0.05623929659452614
9.1,7.277868823670394,0.22258261265954715,0.05469188876428698
9.200000000000001,7.587715072301804,0.25349816326592467,0.05317421262051261
9.3,8.05681722561803,0.2876707289950568,0.05168643592434771
