time,input,output,kernel
0.0,4.1232037063561136e-11,0.0,0.0
0.1,6.862897346441585e-11,2.4513205010324873e-15,0.0005945184074348936
0.2,1.1366029442577182e-10,1.3407191558651347e-14,0.002262093610237499
0.30000000000000004,1.8730035864492248e-10,4.224424857455616e-14,0.004841482506824159
0.4,3.071121483486536e-10,1.0383090884631528e-13,0.008187307766571766
0.5,5.010533092445761e-10,2.2201884944273946e-13,0.012168762585947322
0.6000000000000001,8.133911119927455e-10,4.352387266942575e-13,0.016668410445383752
0.7000000000000001,1.3138429553654698e-09,8.054241906127698e-13,0.02158107336916388
0.8,2.1116213069177406e-09,1.4321716585757353e-12,0.02681280261362604
0.9,3.3768918886329623e-09,2.475091743765366e-12,0.03227992610550422
1.0,5.373370903578122e-09,4.188907358512949e-12,0.03790816732378315
1.1,8.50756001384682e-09,6.978278439737666e-12,0.04363183066660762
1.2000000000000002,1.3402683494668931e-08,1.1482989005668194e-11,0.04939304867096701
1.3,2.1009080230160768e-08,1.8709611342273683e-11,0.055141086758428666
1.4000000000000001,3.2768069317632966e-08,3.02339256436978e-11,0.06083170146638198
1.5,5.0853775710997475e-08,4.8510464735722204e-11,0.06642654839226936
1.6,7.852791879709318e-08,7.734335600732944e-11,0.07189263632924128
1.7000000000000002,1.2065727315590785e-07,1.225986874035542e-10,0.07720182430662756
1.8,1.8446393042566792e-07,1.9327652744428853e-10,0.08233035846856034
1.9000000000000001,2.806066396565989e-07,3.031155354359348e-10,0.08725844592993824
2.0,4.2473002236348946e-07,4.729818631692022e-10,0.09196986294156437
2.1,6.396707762547457e-07,7.344065537933351e-10,0.09645159487653847
2.2,9.585805033937248e-07,1.1347953479874195e-09,0.10069350571861109
2.3000000000000003,1.429319124070592e-06,1.74506010475957e-09,0.10468803489093269
2.4000000000000004,2.1205980058970498e-06,2.6707368820075996e-09,0.1084299194111411
2.5,3.1305166919790286e-06,4.068095687259262e-09,0.11191593949665639
2.6,4.598352175607767e-06,6.167355875808531e-09,0.11514468587300186
2.7,6.7207380132641e-06,9.305958631005589e-09,0.11811634715849881
2.8000000000000003,9.773727650186912e-06,1.3975992148449522e-08,0.12083251581132648
2.9000000000000004,1.4142690268488833e-05,2.0891418122889395e-08,0.12329601123018961
3.0,2.036255909128299e-05,3.108284192699491e-08,0.12551071869816188
3.1,2.9171664834598936e-05,4.6030372786958686e-08,0.12748144295111388
3.2,4.1583266606310716e-05,6.784884950313307e-08,0.12921377523789646
3.3000000000000003,5.897996632193273e-05,9.954463284230388e-08,0.130713972819523
3.4000000000000004,8.323748847084009e-05,1.4536962565123842e-07,0.1319888499293391
3.5,0.0001168858515663042,2.1130659335401984e-07,0.13304567928592168
3.6,0.00016331777427950608,3.057307306629047e-07,0.1338921033155365
3.7,0.00022705626526384602,4.403063709925704e-07,0.13453605430169463
3.8000000000000003,0.0003140957481890402,6.311954984421571e-07,0.13498568273597428
3.9000000000000004,0.0004323337650932736,9.006771646604295e-07,0.13524929319706752
4.0,0.0005921132543572178,1.2793050411026241e-06,0.13533528713422732
4.1000000000000005,0.0008068985606909844,1.8087653028414532e-06,0.135252111977156
4.2,0.0010941116167318596,2.545640138185098e-06,0.13500821603710766
4.3,0.0014761580122163915,3.5663348362344932e-06,0.13461200870378187
4.4,0.001981675763034531,4.9734901590106695e-06,0.13407182547965132
4.5,0.00264704228103316,6.904278164027951e-06,0.13339589742787036
4.6000000000000005,0.0035181770399018517,9.541070429674986e-06,0.13259232464202608
4.7,0.004652678385304558,1.3125074307162718e-05,0.13166905337587143
4.800000000000001,0.006122332440462384,1.7973656767206604e-05,0.13063385649896894
4.9,0.008016029647891287,2.4502217712491003e-05,0.1294943169700144
5.0,0.01044311965517516,3.325163590792178e-05,0.1282578140436275
5.1000000000000005,0.013537227460888016,4.4922490899638045e-05,0.1269315119487131
5.2,0.017460542446342733,6.041746252804693e-05,0.12552235079722932
5.300000000000001,0.02240857661977043,8.089352383636064e-05,0.12403703950144529
5.4,0.028615368652776862,0.00010782576988376768,0.12248205049563932
5.5,0.03635908577535717,0.00014308495906974514,0.12086361607476648
5.6000000000000005,0.04596794617174611,0.00018903107800254451,0.11918772617799708
5.7,0.05782635027692315,0.000248625466458385,0.1174601274592844
5.800000000000001,0.07238107070171419,0.0003255642439591585,0.11568632350032673
5.9,0.09014730815803482,0.0004244359498271064,0.11387157603352459
6.0,0.11171437586670019,0.0005509064276174651,0.11202090705386154
6.1000000000000005,0.13775072910456773,0.0007119340335406562,0.11013910170911935
6.2,0.16900801184381534,0.0009160182056899007,0.10823071186753384
6.300000000000001,0.20632375136548092,0.0011734842737507055,0.10630006027096056
6.4,0.2506222972159551,0.0014968070935668773,0.10435124518990126
6.5,0.3029135761769314,0.0019009756335862653,0.10238814550438803
6.6000000000000005,0.3642892235091948,0.0024038999979999354,0.10041442614178048
6.7,0.4359156561354265,0.0030268615239651903,0.09843354380903913
6.800000000000001,0.5190236790269145,0.003795005521336553,0.09644875296303679
6.9,0.6148942648515946,0.004737874922245841,0.094463111967997
7.0,0.7248402212817835,0.005889981571673904,0.09247948939423127
7.1000000000000005,0.85018356168968,0.007291410125241722,0.09050057041702668
7.2,0.9922285235351491,0.008988447544337369,0.08852886327883194
7.300000000000001,1.1522303334052784,0.011034229021529117,0.0865667057818365
7.4,1.3313599956077398,0.013489388874903014,0.08461627178165916
7.5,1.5306655779084815,0.01642270257683588,0.08267957765617845
7.6000000000000005,1.751030677107889,0.019911703703554315,0.08075848872657744
7.7,1.9931309606199625,0.024043257293152855,0.07885472561045323
